! Solar data file for CrIS hiRes 080808 SARTA fast model
!
! Data for 645-1500 cm-1 comes from M.P. Thekaekara, 1973 Solar
! Energy v.14 p.109-127 (supplied to us by Chris Barnet).  The ~80
! cm-1 point spacing data has been interpolated to the IASI
! channel freqs and converted to W/(m2.sr.cm-1).
!
! Data for 1500-2760 cm-1 comes from ATMOS Solar Spectra, and was
! supplied to us by ATMOS Principal Investigator Michael Gunson.
! In particular we used the file "atmos_corrected_solar.mat".
! This data was then directly convolved with IASI SRFs (Gaussian
! 2cm apodization) for each channel to approximate the effective
! solar irradiance.
!
!chan frequency  solar
!----  -------  -------
 463  938.750   32.371
 464  939.375   32.415
 465  940.000   32.459
 466  940.625   32.504
 467  941.250   32.548
 468  941.875   32.592
 469  942.500   32.637
 470  943.125   32.681
 471  943.750   32.726
 472  944.375   32.770
 473  945.000   32.815
 474  945.625   32.859
 475  946.250   32.904
 476  946.875   32.949
 477  947.500   32.994
 478  948.125   33.038
 479  948.750   33.083
 480  949.375   33.128
 481  950.000   33.173
 482  950.625   33.218
 483  951.250   33.263
 484  951.875   33.308
 485  952.500   33.353
 486  953.125   33.398
 487  953.750   33.443
 488  954.375   33.488
 489  955.000   33.533
 490  955.625   33.578
 491  956.250   33.623
 492  956.875   33.668
 493  957.500   33.714
 494  958.125   33.759
 495  958.750   33.804
 496  959.375   33.850
 497  960.000   33.895
 498  960.625   33.940
 499  961.250   33.985
 500  961.875   34.031
 501  962.500   34.077
 502  963.125   34.122
 503  963.750   34.167
 504  964.375   34.213
 505  965.000   34.259
 506  965.625   34.304
 507  966.250   34.350
 508  966.875   34.395
 509  967.500   34.441
 510  968.125   34.487
 511  968.750   34.532
 512  969.375   34.578
 513  970.000   34.624
 514  970.625   34.670
 515  971.250   34.716
 516  971.875   34.761
 517  972.500   34.807
 518  973.125   34.853
 519  973.750   34.899
 520  974.375   34.945
 521  975.000   34.991
 522  975.625   35.037
 523  976.250   35.083
 524  976.875   35.129
 525  977.500   35.175
 526  978.125   35.221
 527  978.750   35.267
 528  979.375   35.314
 529  980.000   35.360
 530  980.625   35.406
 531  981.250   35.452
 532  981.875   35.498
 533  982.500   35.544
 534  983.125   35.591
 535  983.750   35.637
 536  984.375   35.683
 537  985.000   35.729
 538  985.625   35.775
 539  986.250   35.822
 540  986.875   35.868
 541  987.500   35.915
 542  988.125   35.961
 543  988.750   36.007
 544  989.375   36.054
 545  990.000   36.100
 546  990.625   36.147
 547  991.250   36.193
 548  991.875   36.239
 549  992.500   36.286
 550  993.125   36.332
 551  993.750   36.379
 552  994.375   36.425
 553  995.000   36.472
 554  995.625   36.519
 555  996.250   36.565
 556  996.875   36.612
 557  997.500   36.659
 558  998.125   36.706
 559  998.750   36.752
 560  999.375   36.799
 561 1000.000   36.845
 562 1000.625   36.892
 563 1001.250   36.939
 564 1001.875   36.986
 565 1002.500   37.032
 566 1003.125   37.079
 567 1003.750   37.126
 568 1004.375   37.172
 569 1005.000   37.219
 570 1005.625   37.266
 571 1006.250   37.313
 572 1006.875   37.359
 573 1007.500   37.406
 574 1008.125   37.454
 575 1008.750   37.500
 576 1009.375   37.546
 577 1010.000   37.594
 578 1010.625   37.641
 579 1011.250   37.688
 580 1011.875   37.734
 581 1012.500   37.782
 582 1013.125   37.829
 583 1013.750   37.875
 584 1014.375   37.922
 585 1015.000   37.969
 586 1015.625   38.017
 587 1016.250   38.063
 588 1016.875   38.111
 589 1017.500   38.157
 590 1018.125   38.204
 591 1018.750   38.251
 592 1019.375   38.299
 593 1020.000   38.346
 594 1020.625   38.392
 595 1021.250   38.440
 596 1021.875   38.486
 597 1022.500   38.534
 598 1023.125   38.582
 599 1023.750   38.628
 600 1024.375   38.675
 601 1025.000   38.723
 602 1025.625   38.770
 603 1026.250   38.817
 604 1026.875   38.864
 605 1027.500   38.912
 606 1028.125   38.959
 607 1028.750   39.006
 608 1029.375   39.053
 609 1030.000   39.101
 610 1030.625   39.148
 611 1031.250   39.195
 612 1031.875   39.242
 613 1032.500   39.290
 614 1033.125   39.338
 615 1033.750   39.385
 616 1034.375   39.433
 617 1035.000   39.480
 618 1035.625   39.528
 619 1036.250   39.575
 620 1036.875   39.623
 621 1037.500   39.670
 622 1038.125   39.717
 623 1038.750   39.764
 624 1039.375   39.812
 625 1040.000   39.860
 626 1040.625   39.907
 627 1041.250   39.955
 628 1041.875   40.002
 629 1042.500   40.050
 630 1043.125   40.097
 631 1043.750   40.145
 632 1044.375   40.192
 633 1045.000   40.240
 634 1045.625   40.288
 635 1046.250   40.336
 636 1046.875   40.383
 637 1047.500   40.431
 638 1048.125   40.478
